run_accession	study_accession	sample_accession	host	country	collection_date	isolation_source	center_name	instrument_model	read_count	base_count	fastq_bytes
SRR23309788	PRJNA918392	SAMN32955798	Homo sapiens	USA: Pennsylvania	2019-12	throat	SUB12696205	Illumina HiSeq 2500	1241794	312932088	87267525;88610503
SRR3731507	PRJNA324190	SAMN05339908	Homo sapiens	United Kingdom: Brighton	2011-12-13	nose		Illumina HiSeq 2500	1211447	365856994	84360022;92940131
SRR12333138	PRJNA648411	SAMN15640978	Homo sapiens	Egypt: Alexandria	2015	blood	SUB7808215	Illumina MiSeq	1421163	426348900	124567041;127250907
SRR2057031	PRJNA286158	SAMN03765673	Homo sapiens	Australia: Northern Territory	2013-10-03	nasal		Illumina HiSeq 2000	1438562	434445724	160693196;167852078
DRR456378	PRJDB15501	SAMD00590971	Homo sapiens	Japan:Gunma	2020-03-09	blood culture	NIID	HiSeq X Five	1041787	314619674	87136719;95388169
SRR27322154	PRJNA1055690	SAMN39060400	Homo sapiens	Spain: Sabadell, Barcelona	2018	blood	SUB14103730	Illumina HiSeq 2500	1129367	282341750	96374955;97189055
SRR21098763	PRJNA870263	SAMN30355864	Homo sapiens	Denmark:Copenhagen	2018	blood	SUB11940704	NextSeq 500	914313	256242160	84163662;86169306
SRR26374374	PRJNA1027597	SAMN37801133	Homo sapiens	Russia:Tomsk	2021	blood	SUB13872984	Illumina HiSeq 2500	1175396	293849000	61053583;61115186
SRR6332104	PRJNA412108	SAMN08111910	Homo sapiens	New Zealand: Porirua	2014	Human clinical sample	SUB3266902	NextSeq 500	1482563	425516016	127740227;126476704
SRR6347285	PRJNA418899	SAMN08131517	Homo sapiens	Cambodia: Siem Reap	2008	clinical sample		Illumina HiSeq 2500	1479813	443743271	79298636;77279650
SRR14862042	PRJNA738326	SAMN19718415	Homo sapiens	Switzerland: St.Gallen	2018-04-20	skin	SUB9876965	Illumina MiSeq	1412360	373705060	123969803;165104892
SRR7867492	PRJNA491594	SAMN10080621	Homo sapiens	China: Shaanxi	2011-06-08	Hospital patients	SUB4517555	NextSeq 550	1479478	441609180	105737575;112654006
SRR36881360	PRJNA1387400	SAMN54724250	Homo sapiens	South Korea: Chungcheong-buk-do, Cheongju-si	2001	wound	SUB15937588	Illumina MiSeq	1143200	340039563	120967277;113276759
SRR18339536	PRJNA816913	SAMN26733069	Homo sapiens	Mexico: Mexico City	2018-04-04	Right-Popliteal-Fossa	SUB11197707	NextSeq 500	1389211	416763300	127514249;128645218
SRR14267647	PRJNA721116	SAMN18712577	Homo sapiens	France	2015	sputum from cystic fibrosis patient	SUB9469961	Illumina MiSeq	952352	278864880	84051689;87237180
DRR484283	PRJDB16052	SAMD00623999	Felis catus	Japan:Hokkaido	2020-03-20	catheteruria	NIID	HiSeq X Five	961972	290515544	74303071;84382722
SRR29758699	PRJNA1130542	SAMN42324142	Bos taurus	New Zealand: North Canterbury	2021-11-30	Bacterial Isolate from bulk tank milk sample	SUB14578394	Illumina NovaSeq 6000	1191336	355603138	96577789;99258449
DRR484144	PRJDB16052	SAMD00623860	Canis lupus familiaris	Japan:Hiroshima	2018-11-06	scrotal mass	NIID	HiSeq X Five	870279	262824258	66361994;76130312
SRR13450679	PRJNA692738	SAMN17368105	Equus caballus	Switzerland	2019-07	pastern skin	SUB8867992	Illumina MiSeq	1058901	318774064	74429004;77038524
ERR7434454	PRJEB49018	SAMEA11322483	Sus scrofa domesticus	Spain	2013	Carrier pig	VISAVET Health Surveillance Centre (UCM)	Illumina MiSeq	1645460	430489596	132345311;149277307
