genome_id	gene_symbol	contig	tier	true_location
GCF_001027105.1	fosB-Saur	NZ_CP011526.1	Chromosomal	Chromosome
GCF_001027105.1	tet(38)	NZ_CP011526.1	Chromosomal	Chromosome
GCF_001515685.1	ant(6)-Ia	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	ant(9)-Ia	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	ant(9)-Ia	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	aph(2'')-Ih	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	aph(3')-IIIa	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	blaI_of_Z	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	blaPC1	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	blaR1	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	cat-TC	NZ_CP012014.1	High-confidence plasmid	Plasmid
GCF_001515685.1	erm(A)	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	erm(A)	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	fosB-Saur	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	mecA	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	mecI_of_mecA	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	mecR1	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	sat4	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	tet(38)	NZ_CP012013.1	Chromosomal	Chromosome
GCF_001515685.1	tet(M)	NZ_CP012013.1	Chromosomal	Chromosome
GCF_006094915.1	fosB-Saur	NZ_CP035101.1	Chromosomal	Chromosome
GCF_006094915.1	tet(38)	NZ_CP035101.1	Chromosomal	Chromosome
GCF_006364675.1	fosB-Saur	NZ_CP040998.1	Chromosomal	Chromosome
GCF_006364675.1	tet(38)	NZ_CP040998.1	Chromosomal	Chromosome
